"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_adm_open_menu","Open Admin Menu","Admin Menü öffnen","Open Admin Menu","Open Admin Menu","Open Admin Menu","Otwórz Menu Administratora","Open Admin Menu","Open Admin Menu","Open Admin Menu","Open Admin Menu","Open Admin Menu","Open Admin Menu","Open Admin Menu","Open Admin Menu",
"lb_adm_teleport_cursor","Teleport to Cursor","Zum Cursor Teleportieren","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleportuj się do Kursora","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor","Teleport to Cursor",
"lb_adm_delete_at_cursor","Delete item at Cursor","Item beim Cursor Löschen","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Usuń element w miejscu Kursora","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor","Delete item at Cursor",
"lb_adm_delete_at_cursor_forced","Delete item at Cursor (no confirmation)","Item beim Cursor Löschen (ohne Nachfrage)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Usuń element w miejscu kursora (bez potwierdzenia)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)","Delete item at Cursor (no confirmation)",
"lb_adm_duplicate_item","Duplicate Item","Item duplizieren","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item","Duplicate Item",
"lb_adm_copy_item","Copy Item","Gegenstand kopieren","Copy Item","Copy Item","Copy Item","Kopiuj Element","Copy Item","Copy Item","Copy Item","Copy Item","Copy Item","Copy Item","Copy Item","Copy Item",
"lb_adm_paste_item","Paste Item","Gegenstand einfügen","Paste Item","Paste Item","Paste Item","Wklej Element","Paste Item","Paste Item","Paste Item","Paste Item","Paste Item","Paste Item","Paste Item","Paste Item",
"lb_adm_spawn_on_ground","Spawn Item on Ground","Gegenstand auf dem Boden spawnen","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Zresp przedmiot na ziemi","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground","Spawn Item on Ground",
"lb_adm_spawn_in_inventory","Spawn Item in Inventory","Gegenstand im Inventar spawnen","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Zresp przedmiot w ekwipunku","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory","Spawn Item in Inventory",
"lb_adm_spawm_cursor","Spawn Item at Cursor","Gegenstand beim Cursor spawnen","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Zresp przedmiot przy kurszorze","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor","Spawn Item at Cursor",
