"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"lb_create_group","Create Group","Gruppe erstellen","Create Group","Create Group","Создать группу","Utwórz grupę","Create Group","Create Group","Crear Grupo","Créer un groupe","创建小组","创建小组","Create Group","创建小组",
"lb_create","Create","erstellen","Create","Create","Создать","Utwórz","Create","Create","Crear","Créer","创建","创建","Create","创建",
"lb_groupname","Groupname","Gruppenname","Groupname","Groupname","Имя группы","Nazwa grupy","Groupname","Groupname","Nombre del Clan","Nom du groupe","小组名称","小组名称","Groupname","小组名称",
"lb_groupname_short","Group Tag Short","kurzer Gruppen Tag","Group Tag Short","Group Tag Short","Короткий тег","Tag grupy","Group Tag Short","Group Tag Short","Tag del Clan","Tag du groupe","组标标记","组标标记","Group Tag Short","组标标记",
"lb_group","Group","Gruppe","Group","Group","Группа","Grupa","Group","Group","Grupo","Groupe","团队","团队","Group","团队",
"lb_playerlist","Online Players:","Spieler online:","Online Players:","Online Players:","Игроков онлайн:","Lista graczy:","Online Players:","Online Players:","Jugadores Online:","Joueurs en ligne","在线玩家:","在线玩家:","Online Players:","在线玩家:",
"lb_search","Search:","Suchen:","Search:","Search:","Поиск:","Szukaj:","Search:","Search:","Buscar:","Rechercher","搜索:","搜索:","Search:","搜索:",
"lb_info","Info","Info","Info","Info","Информация","Informacje","Info","Info","Info","Info","信息","信息","Info","信息",
"lb_group_create_info","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","Gebe einen Gruppennamen und einen kurzen Gruppen Tag ein. Das Erstellen einer Gruppe kostet aktuell:","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","Введите уникальное имя для группы и короткий тег. Стоимость создания группы:","Wprowadź unikalną Nazwę grupy oraz Tag grupy. Koszt utworzenia grupy:","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","Elige un nombre para el clan y un Tag, Crear el grupo cuesta:","Saisissez un nom et un tag de groupe. La création coûte :","输入唯一的组名和小组标记。创建一个分组当前需要花费:","输入唯一的组名和小组标记。创建一个分组当前需要花费:","Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:","输入唯一的组名和小组标记。创建一个分组当前需要花费:",
"lb_kick","Kick","Rauswerfen","Kick","Kick","Кикнуть","Wyrzuć","Kick","Kick","Expulsar","Expulsar","踢","踢","Kick","踢",
